ISO,name,AggregatedRegion,,,,
AFG,Afghanistan,RoA,,,,
ALA,Åland Islands,West,,,,
ALB,Albania,West,,,,
DZA,Algeria,Africa,,,,
ASM,American Samoa,S_E_Asia,,,,
AND,Andorra,West,,,,
AGO,Angola,Africa,,,,
AIA,Anguilla,Latin America,,,,
ATG,Antigua and Barbuda,Latin America,,,,
ARG,Argentina,Latin America,,,,
ARM,Armenia,RoA,,,,
ABW,Aruba,Latin America,,,,
AUS,Australia,West,,,,
AUT,Austria,West,,,,
AZE,Azerbaijan,RoA,,,,
BHS,Bahamas,Latin America,,,,
BHR,Bahrain,RoA,,,,
BGD,Bangladesh,S_E_Asia,,,,
BRB,Barbados,Latin America,,,,
BLR,Belarus,West,,,,
BEL,Belgium,West,,,,
BLZ,Belize,Latin America,,,,
BEN,Benin,Africa,,,,
BOL,Bolivia (Plurinational State of),Latin America,,,,
BES,"Bonaire, Sint Eustatius and Saba",Latin America,,,,
BIH,Bosnia and Herzegovina,West,,,,
BWA,Botswana,Africa,,,,
BVT,Bouvet Island,Latin America,,,,
BRA,Brazil,Latin America,,,,
IOT,British Indian Ocean Territory,Africa,,,,
VGB,British Virgin Islands,Latin America,,,,
BRN,Brunei Darussalam,S_E_Asia,,,,
BGR,Bulgaria,West,,,,
BFA,Burkina Faso,Africa,,,,
BDI,Burundi,Africa,,,,
CPV,Cabo Verde,Africa,,,,
KHM,Cambodia,S_E_Asia,,,,
CMR,Cameroon,Africa,,,,
CAN,Canada,West,,,,
CYM,Cayman Islands,Latin America,,,,
CAF,Central African Republic,Africa,,,,
TCD,Chad,Africa,,,,
CHL,Chile,Latin America,,,,
CHN,China,China,,,,
COL,Colombia,Latin America,,,,
COM,Comoros,Africa,,,,
COG,Congo,Africa,,,,
COK,Cook Islands,S_E_Asia,,,,
CRI,Costa Rica,Latin America,,,,
CIV,Côte d'Ivoire,Africa,,,,
HRV,Croatia,West,,,,
CUB,Cuba,Latin America,,,,
CUW,Curaçao,Latin America,,,,
CYP,Cyprus,RoA,,,,
CZE,Czechia,West,,,,
COD,Democratic Republic of the Congo,Africa,,,,
DNK,Denmark,West,,,,
DJI,Djibouti,Africa,,,,
DMA,Dominica,Latin America,,,,
DOM,Dominican Republic,Latin America,,,,
ECU,Ecuador,Latin America,,,,
EGY,Egypt,Africa,,,,
SLV,El Salvador,Latin America,,,,
GNQ,Equatorial Guinea,Africa,,,,
ERI,Eritrea,Africa,,,,
EST,Estonia,West,,,,
SWZ,Eswatini,Africa,,,,
ETH,Ethiopia,Africa,,,,
FLK,Falkland Islands (Malvinas),Latin America,,,,
FRO,Faroe Islands,West,,,,
FJI,Fiji,S_E_Asia,,,,
FIN,Finland,West,,,,
FIN,Finland,West,,,,
FRA,France,West,,,,
GUF,French Guiana,Latin America,,,,
PYF,French Polynesia,S_E_Asia,,,,
ATF,French Southern Territories,Africa,,,,
GAB,Gabon,Africa,,,,
GMB,Gambia,Africa,,,,
GEO,Georgia,RoA,,,,
DEU,Germany,West,,,,
GHA,Ghana,Africa,,,,
GIB,Gibraltar,West,,,,
GRC,Greece,West,,,,
GRL,Greenland,West,,,,
GRD,Grenada,Latin America,,,,
GLP,Guadeloupe,Latin America,,,,
GUM,Guam,S_E_Asia,,,,
GTM,Guatemala,Latin America,,,,
GGY,Guernsey,West,,,,
GIN,Guinea,Africa,,,,
GNB,Guinea-Bissau,Africa,,,,
GUY,Guyana,Latin America,,,,
HTI,Haiti,Latin America,,,,
VAT,Holy See,West,,,,
HND,Honduras,Latin America,,,,
HUN,Hungary,West,,,,
ISL,Iceland,West,,,,
IND,India,India,,,,
IDN,Indonesia,S_E_Asia,,,,
IRN,"Iran, Islamic Rep.",RoA,,,,
IRQ,Iraq,RoA,,,,
IRL,Ireland,West,,,,
IMN,Isle of Man,West,,,,
ISR,Israel,RoA,,,,
ITA,Italy,West,,,,
JAM,Jamaica,Latin America,,,,
JEY,Jersey,West,,,,
JOR,Jordan,RoA,,,,
KAZ,Kazakhstan,RoA,,,,
KEN,Kenya,Africa,,,,
KIR,Kiribati,S_E_Asia,,,,
KWT,Kuwait,RoA,,,,
KGZ,Kyrgyz Republic,RoA,,,,
LAO,Lao People's Democratic Republic ,S_E_Asia,,,,
LVA,Latvia,West,,,,
LBN,Lebanon,RoA,,,,
LSO,Lesotho,Africa,,,,
LBR,Liberia,Africa,,,,
LBY,Libya,Africa,,,,
LIE,Liechtenstein,West,,,,
LTU,Lithuania,West,,,,
LUX,Luxembourg,West,,,,
MDG,Madagascar,Africa,,,,
MWI,Malawi,Africa,,,,
MYS,Malaysia,S_E_Asia,,,,
MLI,Mali,Africa,,,,
MLT,Malta,West,,,,
MHL,Marshall Islands,S_E_Asia,,,,
MTQ,Martinique,Latin America,,,,
MRT,Mauritania,Africa,,,,
MUS,Mauritius,Africa,,,,
MYT,Mayotte,Africa,,,,
MEX,Mexico,Latin America,,,,
FSM,"Micronesia, Fed. Sts.",S_E_Asia,,,,
MCO,Monaco,West,,,,
MNG,Mongolia,RoA,,,,
MNE,Montenegro,West,,,,
MSR,Montserrat,Latin America,,,,
MAR,Morocco,Africa,,,,
MOZ,Mozambique,Africa,,,,
MMR,Myanmar,S_E_Asia,,,,
NAM,Namibia,Africa,,,,
NRU,Nauru,S_E_Asia,,,,
NPL,Nepal,S_E_Asia,,,,
NLD,Netherlands,West,,,,
NCL,New Caledonia,S_E_Asia,,,,
NZL,New Zealand,West,,,,
NIC,Nicaragua,Latin America,,,,
NER,Niger,Africa,,,,
NGA,Nigeria,Africa,,,,
NIU,Niue,S_E_Asia,,,,
MKD,North Macedonia,West,,,,
MNP,Northern Mariana Islands,S_E_Asia,,,,
NOR,Norway,West,,,,
OMN,Oman,RoA,,,,
PAK,Pakistan,RoA,,,,
PLW,Palau,S_E_Asia,,,,
PAN,Panama,Latin America,,,,
PNG,Papua New Guinea,S_E_Asia,,,,
PRY,Paraguay,Latin America,,,,
PER,Peru,Latin America,,,,
PHL,Philippines,S_E_Asia,,,,
PCN,Pitcairn,S_E_Asia,,,,
POL,Poland,West,,,,
PRT,Portugal,West,,,,
PRI,Puerto Rico,Latin America,,,,
QAT,Qatar,RoA,,,,
MDA,Republic of Moldova,West,,,,
REU,Réunion,Africa,,,,
ROU,Romania,West,,,,
RUS,Russian Federation,RoA,,,,
RWA,Rwanda,Africa,,,,
BLM,Saint Barthélemy,Latin America,,,,
SHN,Saint Helena,Africa,,,,
WSM,Samoa,S_E_Asia,,,,
SMR,San Marino,West,,,,
STP,São Tomé and Principe,Africa,,,,
SAU,Saudi Arabia,RoA,,,,
SEN,Senegal,Africa,,,,
SRB,Serbia,West,,,,
SYC,Seychelles,Africa,,,,
SLE,Sierra Leone,Africa,,,,
SGP,Singapore,S_E_Asia,,,,
SXM,Sint Maarten (Dutch part),Latin America,,,,
SVK,Slovakia,West,,,,
SVN,Slovenia,West,,,,
SLB,Solomon Islands,S_E_Asia,,,,
SOM,Somalia,Africa,,,,
ZAF,South Africa,Africa,,,,
SGS,South Georgia and the South Sandwich Islands,Latin America,,,,
SSD,South Sudan,Africa,,,,
ESP,Spain,West,,,,
KNA,St. Kitts and Nevis,Latin America,,,,
LCA,St. Lucia,Latin America,,,,
MAF,St. Martin (French part),Latin America,,,,
PSE,State of Palestine,RoA,,,,
SDN,Sudan,Africa,,,,
